noun	example_count	first_question_numbers
Partei	14	12, 19, 40, 42, 76, 77, 87, 91
Pfarramt	2	55, 123
Polizei	7	41, 62, 75, 135, 145, 251, 262
Presse	2	31, 142
Pressefreiheit	2	12, 167
Rathaus	0	
Rechtsprechung	1	31
Rechtsstaat	4	3, 33, 50, 52
Regierende Bürgermeister	1	Berlin 9
Regierung	15	1, 14, 30, 31, 38, 41, 47, 50
Regierungschef	16	304, 314, 324, 334, 344, 354, 364, 374
Regierungschefin / Regierungschef	16	304, 314, 324, 334, 344, 354, 364, 374
Religion	3	18, 136, 290
Religionsfreiheit	3	1, 17, 158
Religionsgemeinschaft	0	
Rente	0	
Republik	6	21, 25, 99, 186, 205, 213
Richter / Richterin	7	138, 139, 140, 141, 142, 144, 147
Schulpflicht	1	93
Sitze	1	91
Sozialabgaben	1	34
soziale Sicherheit	1	35
Sozialversicherung	4	34, 44, 94, 97
Staat	23	3, 14, 15, 16, 26, 32, 34, 45
Staatsoberhaupt	3	42, 73, 85
Stadtstaat	3	322, 342, 352
Steuer	0	
Stimmabgabe	2	5, 102
Stimme	2	122, 130
Strafe	2	137, 258
Todesstrafe	1	10
Toleranz	1	287
Unantastbarkeit	1	17
ungleich	0	
Ungleichbehandlung	1	16
Urteil	0	
Verbreitung	1	15
Verein	1	239
Verfassung	6	6, 7, 11, 42, 60, 228
verfassungswidrig	1	19
Versammlungsfreiheit	2	16, 276
Volk	6	27, 60, 79, 81, 126, 163
Volkssouveränität	2	51, 60
Wahl	12	5, 13, 68, 92, 102, 103, 121, 123
Wahlberechtigte	2	27, 123
Wahlbeteiligung	0	
Wahlgeheimnis	0	
Wahllokal	0	
Wahlrecht	3	1, 112, 113
Wahrzeichen	0	
Wappen	18	20, 205, 296, 306, 316, 326, 336, 346
Wiedervereinigung	3	214, 216, 224
Wirtschaftswunder	1	179
Wähler / Wählerin	2	5, 95
Währung	1	38
Würde	1	8
Zuwanderung	0	
Zwangsarbeit	1	14
Zweite Weltkrieg	4	151, 157, 161, 176
Zweitstimme	0	
